,baseMean,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos
ERC1,1819.20296047287,1.20382593537437,0.267626803786529,0.0657858793016128,4.06814967934871,4.73879387858562e-05,0.650257296019518,0.000120199182910446,0.826729980058046
ZBED9,16.5606242096224,3.8306666868361,1.93759549974544,0.476379967611054,4.06733202796514,4.75544633111193e-05,0.65249145685176,0.000120594679684171,0.829570801547415
SART1,2678.88578584532,0.863847312968724,-0.21115175968526,0.0519142716676409,-4.06731622928411,4.75576863594577e-05,0.65249145685176,0.000120594679684171,0.829691396227099
UTP6,1326.10523720795,0.857564695084471,-0.221682581902997,0.0545091018130748,-4.06689111596815,4.76444904425322e-05,0.653634764381099,0.000120797235904725,0.831205780260416
NFYC,2864.05807561717,1.14583516801284,0.196399522808658,0.0483120095672932,4.06523190750522,4.79847244157705e-05,0.658254449535539,0.000121642182818589,0.837141502157532
DTWD1,174.872490761726,1.48090376912663,0.566477895647411,0.139350818563625,4.06512068954061,4.80076127346159e-05,0.658520423880726,0.000121682523865772,0.837540811768108
CCDC14,1383.87633815759,1.1868881126922,0.247183939299683,0.0608094048987397,4.06489653551611,4.80537744080212e-05,0.659105569780419,0.00012178183444543,0.838346148322338
FAM73A,673.12755373544,0.802853982974426,-0.31679046977736,0.0779350095870115,-4.06480311551993,4.80730254905457e-05,0.659321544602835,0.00012181292704547,0.838682002708061
JKAMP,1376.83017164381,0.852316500797514,-0.230538831876926,0.0567542733882668,-4.06205239030664,4.86431564767991e-05,0.667092247922822,0.000123239690370932,0.848628507894236
ATP5J,2139.56872505875,0.838911009849081,-0.253410314566287,0.0623947509103679,-4.06140437887667,4.87783968581225e-05,0.668898156115433,0.000123564383851721,0.850987911586805
PKD1L1,42.3946406595447,2.20061281548986,1.13790533409362,0.280239178802297,4.06047911986065,4.89721169416429e-05,0.671505667503807,0.000124037101069091,0.854367552163902
ZC3H12A,1080.75103602412,0.829075558129895,-0.270424506589818,0.0666068702201739,-4.06000921070018,4.90707801513592e-05,0.672809466655286,0.000124268954931138,0.856088830520612
ACOT7,1454.98967599668,0.843651237245744,-0.24528137828157,0.0604145354353158,-4.05997292727982,4.90784061332333e-05,0.672864948086629,0.000124270228359998,0.856221873400388
TSR3,557.229985448044,1.25498313021037,0.327667971247425,0.0807311622981214,4.05875453690886,4.93351384126346e-05,0.676335412498808,0.000124902165831784,0.860700824746824
PIK3R4,1323.01473904639,1.16690381371635,0.222685646569273,0.0549163478487192,4.05499737860785,5.01348650210716e-05,0.687248729708849,0.000126908423557402,0.874652855157615
