,baseMean,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos
EPHA10,65.110174847478,1.11807543391428,0.161017526698797,0.264236665052183,0.609368600178928,0.542280145874979,1,0.811548912811163,27.5926630355795
AGBL4,0,NA,NA,NA,NA,NA,NA,NA,NA
PDZK1IP1,413.735802698228,0.962511792325643,-0.0551238787373872,0.0883368011692773,-0.624019412155924,0.532614836562834,1,0.805678782118017,29.0044361562486
SLC5A9,2.32253865521087,1.06773024860241,0.0945472105467438,1.1472387869282,0.0824128434498802,0.9343184231967,1,NA,NA
PIK3R3,5822.43948347087,1.67216491059193,0.741717134476832,0.0371654863303366,19.9571486266655,1.29916739201915e-88,2.67134799146978e-84,5.02196574246561e-86,1.90834698213693e-84
LOC101929626,3.09371172881722,4.63333802951448,2.2120519393784,1.06323637980827,2.08048932616217,0.0374806736554684,1,NA,NA
ZSWIM5,102.431091813936,0.672908744794975,-0.571517225056679,0.209746797707396,-2.7247959506584,0.00643412375153679,1,0.0453289418639443,1.81315767455777
EPS15,2543.75767185643,1.00883712584073,0.0126932738405845,0.0552734971289142,0.229644847891206,0.818367754474742,1,0.937748962124931,38.4477074471222
ZCCHC11,2098.70127029819,1.13985667716828,0.18885243479574,0.050223543323158,3.76023717762384,0.000169752337188671,1,0.0021490548001652,0.0902603016069383
DAB1,0,NA,NA,NA,NA,NA,NA,NA,NA
PDE4B,200.099936163811,2.6983070612212,1.43205453305051,0.131474505426757,10.8922602781593,1.25486572733997e-27,2.56770625128304e-23,1.33570454122441e-25,5.87709998138739e-24
INADL,2212.41806207408,1.01245007894908,0.0178507745373719,0.0591594167372116,0.301740205057561,0.762850116709365,1,0.91455586745624,41.1550140355308
LOC101926964,0.514554359304023,0.459962580066602,-1.12041159838785,2.8068332049831,-0.39917284589577,0.689765849822817,1,NA,NA
ROR1,269.156703317633,1.01521825272372,0.0217899129020474,0.133231622986972,0.163549106537403,0.87008611217631,1,0.956604007796557,44.9603883664382
FPGT-TNNI3K,0,NA,NA,NA,NA,NA,NA,NA,NA
WLS,2894.38034869579,0.945486834554338,-0.0808707254012793,0.0563604167139354,-1.43488515728599,0.151319825959512,1,0.424141216956014,20.7829196308447
GNG12-AS1,16.2050243768619,1.50560064120512,0.590339147594104,0.498549633803971,1.18411309038535,0.23636829896055,1,0.548761489399639,27.4380744699819
TNNI3K,0,NA,NA,NA,NA,NA,NA,NA,NA
ST6GALNAC3,412.066853788908,0.749388904556002,-0.416213477589344,0.12380533034336,-3.36183810854528,0.000774255028526017,1,0.00795670892485976,0.413748864092707
ADGRL2,1183.77219115107,1.06994356919582,0.0975347082262122,0.0592545419145368,1.64602923379084,0.0997577404317079,1,0.329883261864331,17.4838128788095
IFI44L,0.317947281300213,0.755244034170886,-0.404985212036193,3.2759397274722,-0.123624134058379,0.901612882850642,1,NA,NA
ZZZ3,2255.84818749787,0.96156542498203,-0.0565430729062164,0.0543999072097527,-1.03939649544254,0.2986203732564,1,0.616938771134073,33.931632412374
MCOLN2,93.5336099728121,1.11860408443852,0.161699503260591,0.198403377271629,0.815003784130209,0.415070144021005,1,0.72336267730238,40.5083099289333
HS2ST1,1496.83344415668,0.990226146239302,-0.0141700517155702,0.0586596645504109,-0.24156380409221,0.809118171670428,1,0.933998524162506,53.2379158772629
COL24A1,12.4850751572922,2.20031127537889,1.13770763451307,0.551596902566635,2.06257074544691,0.0391534296050393,1,0.177507631934698,10.2954426522125
MIR548N,0.0574529364909801,1,0,4.40735632396563,0,1,1,NA,NA
DPYD,65.165677380059,0.907905649089792,-0.139385716603431,0.248674687697603,-0.560514292363076,0.575128693734621,1,0.829460396672111,49.7676238003267
