,baseMean,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos
LOC100335030,4.72856699076842,0.933262560388266,-0.0996450746026038,0.909701068763435,-0.109536064124946,0.912777318811513,1,NA,NA
TUBA8,69.6752183120378,0.983040273899333,-0.02467757174508,0.225302461641353,-0.109530857165524,0.912781448516361,1,0.973134467793354,17437.5965283891
NEXN-AS1,3.51512254456376,0.923500660809271,-0.114815101361385,1.04872247152209,-0.109480920338004,0.912821054160404,1,NA,NA
UPK3BL,0.27568511989807,0.755248102277662,-0.404977441009347,3.70036474985001,-0.109442573472186,0.912851467779632,1,NA,NA
CYP2A13,0.27568511989807,0.755248102277662,-0.404977441009347,3.70036474985001,-0.109442573472186,0.912851467779632,1,NA,NA
SNX29P2,3.32701628546531,0.920361076323407,-0.119728124126994,1.09406285262717,-0.109434411231029,0.912857941422814,1,NA,NA
PPARD,972.249470477623,0.994250038102098,-0.0083193825692645,0.0761709710548733,-0.109219857040699,0.913028110884903,1,0.973326795905969,17445.9094898186
NKRF,772.752237480134,0.994129848013471,-0.00849379355204361,0.0778507836571996,-0.109103507415472,0.913120392983902,1,0.973354532114698,17447.379988156
CASQ1,5.29375702943559,1.06493839289625,0.0907699723911159,0.832749088716097,0.109000386336131,0.913202183909936,1,NA,NA
TTBK1,0.287480915497346,0.755243280595408,-0.404986651544615,3.71948979078511,-0.108882312984956,0.913295835423382,1,NA,NA
FSTL4,3.25538675359679,1.07379957931829,0.102724744807568,0.943469850485435,0.108879732356804,0.913297882297785,1,NA,NA
HVCN1,0.272203111469231,0.755246104475822,-0.40498125726868,3.72280236213434,-0.108783979882429,0.913373830604213,1,NA,NA
LOC100505736,0.277477592199252,0.755245202127711,-0.404982980963665,3.72512955212966,-0.108716482285062,0.91342736837193,1,NA,NA
RPL34-AS1,1.32267703354751,1.12827701818684,0.174121326334539,1.60271389131237,0.108641553104629,0.913486801185404,1,NA,NA
MUC5AC,3.30453559927495,0.920349397604695,-0.119746431003396,1.1027604243624,-0.108587893034547,0.913529363925258,1,NA,NA
PCDHGA12,6.75214732226844,0.948137283592005,-0.0768321285718846,0.708738891967441,-0.108406818706676,0.913672992468518,1,0.973816575840358,17463.4526545451
TCFL5,616.820376411844,0.993464725240347,-0.00945935199650585,0.0872715492725932,-0.108389871330913,0.913686435307496,1,0.973816575840358,17464.426471121
GYPC,0.267753948829735,0.755248057436397,-0.404977526666328,3.73833715141401,-0.108330926362045,0.913733191276967,1,NA,NA
SIGLEC16,0.267753948829735,0.755248057436397,-0.404977526666328,3.73833715141401,-0.108330926362045,0.913733191276967,1,NA,NA
SPECC1L-ADORA2A,0.267753948829735,0.755248057436397,-0.404977526666328,3.73833715141401,-0.108330926362045,0.913733191276967,1,NA,NA
TLX1,0.263022892947578,0.755245507101683,-0.404982398392143,3.73933652113428,-0.108303276825509,0.913755123376945,1,NA,NA
SELE,3.4600774757386,1.07034539671851,0.0980764244059606,0.905927582420148,0.108260777471808,0.913788834741827,1,NA,NA
ANXA9,234.801814750025,0.990744214697959,-0.0134154570705189,0.12394078829788,-0.108240856418277,0.913804636586213,1,0.973871893405999,17471.2617677036
LRRTM3,0.27473822813881,0.755243509492858,-0.404986214295883,3.74279094183641,-0.108204337508944,0.913833604325501,1,NA,NA
SLC28A2,0.366663950424425,0.755245969482439,-0.404981515137341,3.74638523792735,-0.108099271542452,0.913916945993959,1,NA,NA
MIR3653,1.05231406835357,0.849956462529122,-0.234539151168786,2.17058811544788,-0.108053273442157,0.913953433449022,1,NA,NA
PITRM1,3567.79493270715,1.00368371256268,0.00530470932165188,0.0491201514001628,0.107994563747096,0.914000004491401,1,0.974009436010896,17477.6253197795
PCAT19,0.827063586861344,0.850079268703399,-0.234330718068618,2.17420820747543,-0.107777496774658,0.914172193865324,1,NA,NA
MGAM2,1.10196421082384,1.14231770873561,0.191963958118292,1.78193166492003,0.107728013311277,0.914211447414295,1,NA,NA
THSD1,11.3126329274582,1.04638501057759,0.0654137795492943,0.607761915921539,0.107630599805038,0.914288722847902,1,0.974190815886064,17483.8025727072
SREBF1,6244.77496866857,0.99620980648962,-0.00547848220620468,0.0509534992506198,-0.10751925356997,0.914377051721269,1,0.974190815886064,17484.7767635231
MBNL3,205.540962915073,0.990328736989144,-0.0140205914128813,0.130404281361265,-0.107516342765154,0.914379360822153,1,0.974190815886064,17485.750954339
OLFML1,0.26131088105444,0.755245481802894,-0.404982446718729,3.76787999853264,-0.107482840981253,0.914405937372321,1,NA,NA
PCIF1,971.189870983396,1.00558517169215,0.00803528112013606,0.0748893458849438,0.107295383945282,0.914554646481869,1,0.974190815886064,17487.6993359707
LOC101927844,0.35873277935609,0.755245900142806,-0.404981647592136,3.77527634550284,-0.107272053892043,0.914573154353167,1,NA,NA
ATP11A,4771.16382440309,1.00391351032632,0.00563498283635799,0.0525384872980271,0.107254379144821,0.914587175867088,1,0.974190815886064,17489.6477176025
NEU2,0.262199788171138,0.755245401477586,-0.404982600158812,3.78305683946631,-0.107051682632383,0.914747978480219,1,NA,NA
HESX1,23.0708185749617,1.03148936167655,0.0447289419848192,0.418267746584895,0.106938539607765,0.914837738296312,1,0.974190815886064,17491.5960992343
SYT5,1.4805222991516,1.12001867338461,0.163522785653233,1.52914196639024,0.106937608964623,0.914838476608437,1,NA,NA
BTNL8,0.25562048865932,0.755246891263378,-0.404979754322943,3.78894635807087,-0.106884530962095,0.914880585387013,1,NA,NA
TLX3,83.9930099482591,0.982679838166311,-0.0252066387747417,0.235834353834076,-0.106882811451957,0.914881949543166,1,0.974190815886064,17494.5186716819
TTLL4,3895.32942027151,1.00422233767917,0.00607872143542215,0.0569488406579996,0.106740038342963,0.914995218034065,1,0.974190815886064,17495.4928624978
CDK2AP1,4386.72234213403,0.996622853799374,-0.00488043769816056,0.0457275414959447,-0.106728626523544,0.915004271631161,1,0.974190815886064,17496.4670533137
SRRM3,39.2231343567976,1.02456635323631,0.0350134195713534,0.328181387496617,0.10668923011886,0.915035526957674,1,0.974190815886064,17497.4412441296
GSTO2,8.70369814357772,0.955130898079571,-0.0662296307764082,0.620842443835906,-0.106677034461763,0.915045202467325,1,0.974190815886064,17498.4154349455
SUMO1P1,0.253908476766182,0.755246935741655,-0.404979669359219,3.79636385904455,-0.106675672932242,0.915046282647052,1,NA,NA
C6orf99,50.836783305934,1.01963820271704,0.0280573328449697,0.2630302975839,0.106669585605514,0.915051112075596,1,0.974190815886064,17500.3638165772
NCKIPSD,778.460615522747,1.00532378777369,0.00766022954628344,0.0718643536990935,0.106592895531461,0.91511195501767,1,0.974190815886064,17501.3380073931
MIR6884,0.257750625531642,0.755247745450926,-0.404978122629444,3.80124681370677,-0.106538234026043,0.915155321648003,1,NA,NA
ZNF587,382.249209417412,1.00717254415263,0.01031086037495,0.096810061521565,0.106506082249035,0.915180829922352,1,0.974190815886064,17503.2863890249
HADH,1556.52536967294,0.99627192152602,-0.0053885310124268,0.0506177148599266,-0.106455438127509,0.91522100965616,1,0.974190815886064,17504.2605798408
SCAMP3,8.84512814715405,1.04779110407942,0.067351118450977,0.633210152626692,0.106364558703915,0.915293111579186,1,0.974190815886064,17505.2347706567
ZNF516,0.253379709986105,0.755245383207816,-0.404982635058339,3.80912641356024,-0.106319032525838,0.915329231403385,1,NA,NA
KCNIP1,22.5632567860875,1.02907796907974,0.0413522935470277,0.389054763673916,0.10628913306839,0.915352953304118,1,0.974190815886064,17507.1831522885
FAU,4320.94321912998,0.996796369882591,-0.00462928050008659,0.0435779299167579,-0.106229931273225,0.91539992357975,1,0.974190815886064,17508.1573431043
ERCC-00058,0.8679505780292,1.14745051164149,0.198431933029919,1.8696341970232,0.10613409475814,0.915475960202988,1,NA,NA
TUBBP5,172.772790732913,0.988082784521803,-0.0172961747214291,0.162997561446083,-0.10611308885839,0.915492626372345,1,0.974190815886064,17510.1057247361
WDR24,732.226823480734,1.006727538822,0.00967328455921123,0.0911644819908317,0.106108040631263,0.915496631662552,1,0.974190815886064,17511.079915552
ASPRV1,7.68867099252036,0.941152701984252,-0.0874992757354404,0.826393513857656,-0.105880883947151,0.915676861200617,1,0.97431201841187,17514.2328429718
SNORA49,0.721117327310341,0.850983324458858,-0.23279723319495,2.20162485465506,-0.105738828621384,0.915789572241523,1,NA,NA
LOC101928205,6.50993039510702,1.05648424074351,0.0792712471869536,0.750384122590956,0.105640890845668,0.915867280054783,1,0.974397979498121,17517.7268754172
UBTD2,2516.04961561003,1.00374435804403,0.00539187850744707,0.0510537247490639,0.105611853668834,0.915890319486048,1,0.974397979498121,17518.7012733967
C2orf73,0.915737215313542,0.851070138988302,-0.232650061682535,2.20432313821318,-0.105542630138665,0.915945244902823,1,NA,NA
